President,avg_AoA,biggest_words,biggest_words_definitions,smallest_words,smallest_words_definitions,biggest_sentence,biggest_sentence_rating,biggest_sentence_before,biggest_sentence_after,smallest_sentence,smallest_sentence_rating,smallest_sentence_before,smallest_sentence_after
Teddy Roosevelt,7.623286626187140,"['sagacity', 'obviate', 'remunerative', 'indemnity', 'guarantor']","['the mental ability to understand and discriminate between relations', 'do away with', 'for which money is paid', 'protection against future loss', 'one who provides a warrant or guarantee to another']","['water', 'shoe', 'count', 'mother', 'happy']","['binary compound that occurs at room temperature as a clear colorless odorless tasteless liquid; freezes into ice below 0 degrees centigrade and boils above 100 degrees centigrade; widely used as a solvent', 'footwear shaped to fit the foot (below the ankle) with a flexible upper of leather or plastic and a sole and heel of heavier material', 'the total number counted', 'a woman who has given birth to a child (also used as a term of address to your mother)', 'enjoying or showing or marked by joy or pleasure']","We would save useful mechanical invention, machine
production, industrial efficiency, modern means of communication, broad
education.",8.013076923076920,"The vicious and wasteful parts
of that society we could not save if we wished; they have chosen the way of
self-destruction.","We would save and encourage the slowly growing impulse among
consumers to enter the industrial market place equipped with sufficient
organization to insist upon fair prices and honest sales.","It spreads throughout, and while it is bad for everybody, it is worst
for those farthest down.",2.79,"Disaster to great business
enterprises can never have its effects limited to the men at the top.","The capitalist may be shorn of his luxuries;
but the wage-worker may be deprived of even bare necessities."
Ronald Reagan,7.277296213393020,"['bipartisan', 'inflationary', 'outmoded', 'ballistic', 'equity']","['supported by both sides', 'associated with or tending to cause increases in inflation', 'make unfashionable, outdated, or obsolete', 'relating to or characteristic of the motion of objects moving under their own momentum and the force of gravity', 'the difference between the market value of a property and the claims held against it']","['water', 'count', 'mother', 'happy', 'hand']","['binary compound that occurs at room temperature as a clear colorless odorless tasteless liquid; freezes into ice below 0 degrees centigrade and boils above 100 degrees centigrade; widely used as a solvent', 'the total number counted', 'a woman who has given birth to a child (also used as a term of address to your mother)', 'enjoying or showing or marked by joy or pleasure', 'the (prehensile) extremity of the superior limb']","A security shield can one day render
nuclear weapons obsolete and free mankind from the prison of nuclear
terror.",8.262500000000000,"And the same technology transforming our lives can solve the
greatest problem of the 20th century.",America met one historic challenge and went to the Moon.,"But that's
only a little more than half of what we sought.",3.95,"Federal spending growth has been cut from 17.4 percent in
1980 to less than half of that today, and we have already achieved over
$300 billion in budget savings for the period of 1982 to '86.","Government is still
spending too large a percentage of the total economy."
Herbert Hoover,8.156790763430730,"['amortization', 'promulgate', 'inviolable', 'virility', 'remuneration']","['the reduction of the value of an asset by prorating its cost over a period of years', 'state or announce', 'incapable of being transgressed or dishonored', 'the masculine property of being capable of copulation and procreation', 'something that remunerates']","['water', 'hand', 'ask', 'door', 'see']","['binary compound that occurs at room temperature as a clear colorless odorless tasteless liquid; freezes into ice below 0 degrees centigrade and boils above 100 degrees centigrade; widely used as a solvent', 'the (prehensile) extremity of the superior limb', 'inquire about', 'a swinging or sliding barrier that will close the entrance to a room or building or vehicle', ""the seat within a bishop's diocese where his cathedral is located""]","Its diversion from proper use, its improper
use, or its insufficiency instantly brings hardship and dislocation in
economic life.",9.007000000000000,"The banking and financial system is presumed to serve in furnishing the
essential lubricant to the wheels of industry, agriculture, and
commerce, that is, credit.","As a system our banking has failed to meet this great
emergency.","Some other conditions in the
contracts had not worked out satisfactorily.",5.33,"These requirements come to a total of 12 vessels in the
10-year period, aggregating 122,000 tons.","That study has now been substantially completed and the committee has
advised the desirability and the necessity of securing much larger
undertakings as to service and new construction in future contracts."
George W. Bush,7.219216141349110,"['rostrum', 'codify', 'bipartisan', 'nanotechnology', 'refinance']","['a platform raised above the surrounding level to give prominence to the person on it', 'organize into a code or system, such as a body of law', 'supported by both sides', 'the branch of engineering that deals with things smaller than 100 nanometers (especially with the manipulation of individual molecules)', 'renew the financing of']","['mom', 'water', 'daddy', 'dad', 'happy']","['informal terms for a mother', 'binary compound that occurs at room temperature as a clear colorless odorless tasteless liquid; freezes into ice below 0 degrees centigrade and boils above 100 degrees centigrade; widely used as a solvent', 'an informal term for a father; probably derived from baby talk', 'an informal term for a father; probably derived from baby talk', 'enjoying or showing or marked by joy or pleasure']","Second: I propose to make permanent the research and development tax credit, to
encourage bolder private-sector investment in technology.",8.216363636363640,"This funding
will support the work of America's most creative minds as they explore promising
areas such as nanotechnology, supercomputing, and alternative energy sources.","With more research in
both the public and private sectors, we will improve our quality of life and
ensure that America will lead the world in opportunity and innovation for
decades to come.","All told, more than 3,000 suspected terrorists have been
arrested in many countries.",3.72,"Cole, an Al Qaida
operations chief from Southeast Asia, a former director of Al Qaida's training
camps in Afghanistan, a key Al Qaida operative in Europe, a major Al Qaida
leader in Yemen.",Many others have met a different fate.
Jimmy Carter,7.986420089064820,"['promulgate', 'intransigence', 'biomass', 'bipartisan', 'inflationary']","['state or announce', 'the trait of being intransigent; stubbornly refusing to compromise', 'plant materials and animal waste used as fuel', 'supported by both sides', 'associated with or tending to cause increases in inflation']","['water', 'happy', 'hand', 'eat', 'birthday']","['binary compound that occurs at room temperature as a clear colorless odorless tasteless liquid; freezes into ice below 0 degrees centigrade and boils above 100 degrees centigrade; widely used as a solvent', 'enjoying or showing or marked by joy or pleasure', 'the (prehensile) extremity of the superior limb', 'take in solid food', 'an anniversary of the day on which a person was born (or the celebration of it)']","Meeting this challenge will take national will, diplomatic and political
wisdom, economic sacrifice, and, of course, military capability.",8.496153846153850,"And it demands consultation and close cooperation with countries in the
area which might be threatened.","We must
call on the best that is in us to preserve the security of this crucial
region.","But I say again that
America's best is still ahead.",3.42,It has been said that our best years are behind us.,"We have emerged from bitter experiences
chastened but proud, confident once again, ready to face challenges once
again, and united once again."
Franklin D. Roosevelt,7.410962452007550,"['remunerative', 'guarantor', 'preferment', 'adjudication', 'necessitous']","['for which money is paid', 'one who provides a warrant or guarantee to another', 'the act of preferring', 'the final judgment in a legal proceeding; the act of pronouncing judgment based on the evidence presented', 'poor enough to need help from others']","['water', 'shoe', 'count', 'happy', 'hand']","['binary compound that occurs at room temperature as a clear colorless odorless tasteless liquid; freezes into ice below 0 degrees centigrade and boils above 100 degrees centigrade; widely used as a solvent', 'footwear shaped to fit the foot (below the ankle) with a flexible upper of leather or plastic and a sole and heel of heavier material', 'the total number counted', 'enjoying or showing or marked by joy or pleasure', 'the (prehensile) extremity of the superior limb']","We would save useful mechanical invention, machine
production, industrial efficiency, modern means of communication, broad
education.",8.013076923076920,"The vicious and wasteful parts
of that society we could not save if we wished; they have chosen the way of
self-destruction.","We would save and encourage the slowly growing impulse among
consumers to enter the industrial market place equipped with sufficient
organization to insist upon fair prices and honest sales.","And today's best is not good enough for
tomorrow.",3.55,"Actual experience is improving and speeding up our methods of
production with every passing day.",I am not satisfied with the progress thus far made.
John F. Kennedy,7.615822376581490,"['bipartisan', 'diphtheria', 'inflationary', 'racketeering', 'subjugation']","['supported by both sides', 'acute contagious infection caused by the bacterium Corynebacterium diphtheriae; marked by the formation of a false membrane in the throat and other air passages causing difficulty in breathing', 'associated with or tending to cause increases in inflation', 'engaging in a racket', 'forced submission to control by others']","['water', 'count', 'hand', 'bad', 'stop']","['binary compound that occurs at room temperature as a clear colorless odorless tasteless liquid; freezes into ice below 0 degrees centigrade and boils above 100 degrees centigrade; widely used as a solvent', 'the total number counted', 'the (prehensile) extremity of the superior limb', 'that which is below standard or expectations as of ethics or decency', 'the event of something ending']","Government aid
can only supplement the role of private investment, trade expansion,
commodity stabilization, and, above all, internal self-improvement.",9.065000000000000,But free world development will still be an uphill struggle.,"The
processes of growth are gradual--bearing fruit in a decade, not a day.","Well over a million more men and women
are working today than were working 2 years ago.",6.47,"At home, the recession is behind us.","The average factory
work week is once again more than 40 hours; our industries are turning out
more goods than ever before; and more than half of the manufacturing
capacity that lay silent and wasted 100 weeks ago is humming with
activity."
Thomas Jefferson,7.79649890957893,"['arraignment', 'efficacious', 'adjudication', 'solicitude', 'tenure']","['a legal document calling someone to court to answer an indictment', 'marked by qualities giving the power to produce an intended effect; -Aldous Huxley', 'the final judgment in a legal proceeding; the act of pronouncing judgment based on the evidence presented', 'a feeling of excessive concern', 'the term during which some position is held']","['water', 'count', 'happy', 'hand', 'ask']","['binary compound that occurs at room temperature as a clear colorless odorless tasteless liquid; freezes into ice below 0 degrees centigrade and boils above 100 degrees centigrade; widely used as a solvent', 'the total number counted', 'enjoying or showing or marked by joy or pleasure', 'the (prehensile) extremity of the superior limb', 'inquire about']","They will maintain the public interests while a more permanent force shall
be in course of preparation.",7.81875,"A steady, perhaps a quickened, pace in preparation for the defense
of our sea port towns and waters; an early settlement of the most exposed
and vulnerable parts of our country; a militia so organized that its
effective portions can be called to any point in the Union, or volunteers
instead of them to serve a sufficient time, are means which may always be
ready, yet never preying on our resources until actually called into use.","But much will depend on the promptitude with
which these means can be brought into activity.","Propositions for
adjusting amicably the boundaries of Louisiana have not been acceded to.",3.72,"On the Mobile, our commerce passing through that river continues to
be obstructed by arbitrary duties and vexatious searches.","While, however, the right is unsettled, we have avoided changing the state
of things by taking new posts or strengthening ourselves in the disputed
territories, in the hope that the other power would not by a contrary
conduct oblige us to meet their example and endanger conflicts of authority,
the issue of which may not be easily controlled."
Millard Fillmore,7.9782902428057500,"['condign', 'indemnity', 'peremptory', 'disembarkation', 'arbiter']","['fitting or appropriate and deserved; used especially of punishment', 'protection against future loss', 'offensively self-assured or given to exercising usually unwarranted power', 'the act of passengers and crew getting off of a ship or aircraft', 'someone with the power to settle matters at will']","['water', 'mother', 'happy', 'hand', 'ask']","['binary compound that occurs at room temperature as a clear colorless odorless tasteless liquid; freezes into ice below 0 degrees centigrade and boils above 100 degrees centigrade; widely used as a solvent', 'a woman who has given birth to a child (also used as a term of address to your mother)', 'enjoying or showing or marked by joy or pleasure', 'the (prehensile) extremity of the superior limb', 'inquire about']","You will consider whether further legislation
be necessary to prevent the perpetration of such offenses in future.",8.7775,"These originators of the invasion of Cuba seem to have
determined with coolness and system upon an undertaking which should
disgrace their country, violate its laws, and put to hazard the lives of
ill-informed and deluded men.","No individuals have a right to hazard the peace of the country or to
violate its laws upon vague notions of altering or reforming governments in
other states.","There were 1,698 post-offices established and 256
discontinued during the year.",5.24,"The whole number of post-offices in the United States on the 30th day of
June last was 19,796.","The gross revenues of the Department for the fiscal year, including the
appropriations for the franked matter of Congress, of the Departments, and
officers of Government, and excluding the foreign postages collected for
and payable to the British post-office, amounted to $6,727,866.78."
William Henry Harrison,7.903684786104860,"['obviate', 'remunerative', 'indemnity', 'adjudication', 'defalcation']","['do away with', 'for which money is paid', 'protection against future loss', 'the final judgment in a legal proceeding; the act of pronouncing judgment based on the evidence presented', 'the sum of money that is misappropriated']","['water', 'count', 'mother', 'happy', 'hand']","['binary compound that occurs at room temperature as a clear colorless odorless tasteless liquid; freezes into ice below 0 degrees centigrade and boils above 100 degrees centigrade; widely used as a solvent', 'the total number counted', 'a woman who has given birth to a child (also used as a term of address to your mother)', 'enjoying or showing or marked by joy or pleasure', 'the (prehensile) extremity of the superior limb']","Gratification
and amazement struggle for supremacy as we contemplate the population,
wealth, and moral strength of our country.",9.263,"The vista that
now opens to us is wider and more glorious than ever before.","A trust momentous in its
influence upon our people and upon the world is for a brief time committed
to us, and we must not be faithless to its first condition--the defense of
the free and equal influence of the people in the choice of public officers
and in the control of public affairs.",On the 16th day of April last I appointed Hon.,3.5,"The one
submitted to the Indians a specific proposition; the other (section 3 of
the Indian appropriation act) authorized the President to appoint three
commissioners to negotiate with these Indians for the accomplishment of the
same general purpose, and required that any agreements made should be
submitted to Congress for ratification.","Charles Foster, of Ohio,
Hon."
Gerald Ford,7.573696603459050,"['bipartisan', 'inflationary', 'ballistic', 'inequitable', 'immutable']","['supported by both sides', 'associated with or tending to cause increases in inflation', 'relating to or characteristic of the motion of objects moving under their own momentum and the force of gravity', 'not equitable or fair', 'not subject or susceptible to change or variation in form or quality or nature']","['count', 'mother', 'happy', 'hand', 'bad']","['the total number counted', 'a woman who has given birth to a child (also used as a term of address to your mother)', 'enjoying or showing or marked by joy or pleasure', 'the (prehensile) extremity of the superior limb', 'that which is below standard or expectations as of ethics or decency']","A necessary condition of a healthy economy is freedom from the petty
tyranny of massive government regulation.",9.421000000000000,"But with lower
interest rates and available mortgage money, we can have a healthy recovery
in 1976.","We are wasting literally millions
of working hours costing billions of taxpayers' and consumers' dollars
because of bureaucratic redtape.","We came from many roots, and we have many branches.",3.72,But think for a minute how far we have come in 200 years.,"Yet all Americans
across the eight generations that separate us from the stirring deeds of
1776, those who know no other homeland and those who just found refuge
among our shores, say in unison:

I am proud of America, and I am proud to be an American."
George Washington,8.098029836609050,"['condign', 'obviate', 'deputation', 'licentious', 'circumspection']","['fitting or appropriate and deserved; used especially of punishment', 'do away with', 'a group of representatives or delegates', 'lacking moral discipline; especially sexually unrestrained', 'knowing how to avoid embarrassment or distress']","['count', 'happy', 'hand', 'stop', 'see']","['the total number counted', 'enjoying or showing or marked by joy or pleasure', 'the (prehensile) extremity of the superior limb', 'the event of something ending', ""the seat within a bishop's diocese where his cathedral is located""]","Ought our country to remain in such cases dependent on foreign supply,
precarious because liable to be interrupted?",9.153333333333330,"As a general rule, manufactures on public account are
inexpedient; but where the state of things in a country leaves little hope
that certain branches of manufacture will for a great length of time
obtain, when these are of a nature essential to the furnishing and
equipping of the public force in time of war, are not establishments for
procuring them on public account to the extent of the ordinary demand for
the public service recommended by strong considerations of national policy
as an exception to the general rule?","If the necessary article
should in this mode cost more in time of peace, will not the security and
independence thence arising form an ample compensation?","Measures are in
operation for effecting treaties with the Regencies of Tunis and Tripoli.",7.84,"The actual liberation of all our citizens who were prisoners in
Algiers, while it gratifies every feeling of heart, is itself an earnest of
a satisfactory termination of the whole negotiation.","To an active external commerce the protection of a naval force is
indispensable."
Warren G. Harding,8.100142819359960,"['remunerative', 'amelioration', 'requisite', 'prostrate', 'bulwark']","['for which money is paid', 'the act of relieving ills and changing for the better', 'anything indispensable', 'get into a prostrate position, as in submission', 'an embankment built around a space for defensive purposes']","['water', 'count', 'hand', 'big', 'ask']","['binary compound that occurs at room temperature as a clear colorless odorless tasteless liquid; freezes into ice below 0 degrees centigrade and boils above 100 degrees centigrade; widely used as a solvent', 'the total number counted', 'the (prehensile) extremity of the superior limb', 'above average in size or number or quantity or magnitude or extent', 'inquire about']","Contemplating the inevitable and desirable increase of population, there is
another phase of reclamation full worthy of consideration.",9.435555555555560,"These prospects seem to afford every justification of
Government advances in reclamation and irrigation.","There are
79,000,000 acres of swamp and cut-over lands which may be reclaimed and
made as valuable as any farm lands we possess.","These
have proven very helpful to the cooperating communities in Europe.",4.58,"Every proper
encouragement should be given to the cooperative marketing programs.","In
Russia the cooperative community has become the recognized bulwark of law
and order, and saved individualism from engulfment in social paralysis."
Ulysses S. Grant,7.943165137614680,"['sagacity', 'mikado', 'remunerative', 'indemnity', 'contravene']","['the mental ability to understand and discriminate between relations', 'the emperor of Japan; when regarded as a religious leader the emperor is called tenno', 'for which money is paid', 'protection against future loss', 'go against, as of rules and laws']","['water', 'count', 'mother', 'happy', 'hand']","['binary compound that occurs at room temperature as a clear colorless odorless tasteless liquid; freezes into ice below 0 degrees centigrade and boils above 100 degrees centigrade; widely used as a solvent', 'the total number counted', 'a woman who has given birth to a child (also used as a term of address to your mother)', 'enjoying or showing or marked by joy or pleasure', 'the (prehensile) extremity of the superior limb']","Our progress has been great in all the arts--in science,
agriculture, commerce, navigation, mining, mechanics, law, medicine, etc.",8.822,"Our liberties remain unimpaired; the bondmen have been freed from slavery;
we have become possessed of the respect, if not the friendship, of all
civilized nations.",";
and in general education the progress is likewise encouraging.","In two of
said counties, York and Spartanburg, many arrests have been made.",3.72,"Direction was given that within the counties so designated persons
supposed, upon creditable information, to be members of such unlawful
combinations should be arrested by the military forces of the United States
and delivered to the marshal, to be dealt with according to law.","At the
last account the number of persons thus arrested was 168."
